Sentence	Emotion
이준식 국민과 역사앞에 사죄하고 물러나라!	분노
자살하지 말고 가해자를 쏴라	분노
타고가는 시간보다 타기위해서 역까지 가는시간이 두배나 더걸린다	분노
쓰레기도 아깝다	분노
들통날 거짓말을 뭘 그리 짜증내면서 하셨을까..	분노
기업윤리 의식좀 각성해라	분노
김치년들 군대도 안가고 편한일만 하고 의무도 없자나	분노
차인표 라미란이 그냥 베스트커플하나로 끝이라니 ㅡㅡ	분노
이런거 신경쓰지 말구 제발 큰 덩어리 부터 뭐가 잘못_나 그거부터 신경써라.	분노
중국어선을 폭파시켜라.	분노
다 죽으라는 거냐 대책도 없고 무능한 정부	분노
입만열면 구라네 구라청ㅋㅋ	분노
중졸에 대한 모욕이다	분노
이완용....당신은 옳았습니다 조선은 독립할 자격이 없어요	분노
방귀 낀 놈이 성 낸다 더니. 어이가 없네.	분노
제발좀 내려와요 !!!!!	분노
공동화장실에 똥딱아버리는 휴지통이나 없애라	분노
너희들은 존재자체가 불쾌야 역겨운세끼들아	분노
인스타 블로그 같은데서 브랜드의류를 왜사 당연히 다 짭이지ㅡ.ㅡ	분노
관련된 교사 교수들 모두 구속시켜라.	분노
저런 파렴치한이 한국을 말아먹고 있었구나.	분노
사형제도를 부활해야해!!	분노
댓글알바들도 박근혜.이명박한테는 개돼지들일텐데 부끄럽지도 않나	분노
사대기업 총수들에게도 국가내란죄에 해당하는 엄벌을 내려야한다	분노
발악을 하는구나 니죄는 온국민이 다알아!!	분노
또 시작이구나.사기꾼 새끼들.	분노
어따대고 폭동이래?	분노
 이슬람은 악의 축이다	분노
새해부터 거짓말로 한해 시작하는 사람도 있내요	분노
려성가족부를 폐지해야됩니다.	분노
조사필요없이 무기징역때리고 깜빵에 처넣어라.	분노
매번 논란일으키고 사과하고 그러는데 왜 못고치니?	분노
기껏해서 총장 만들어_더니 아무일도 안하고 대통령 하겠다고 설치니...	분노
탈세범은 축구장이 아니라 감옥으로 가야지	분노
국가 망신 가중 처벌 안되나요?	분노
비정규 누가 만들엇나	분노
지저분하게 시간끌기 하지 말고 즉각 퇴진하라	분노
이모든것은 이씨조선 이 만들어낸 헬조선인것이다	분노
왕기춘 왜 가만나두냐?	분노
답이 없는 인간들...싹다 총살..	분노
쓰레기는 좀치우자 엿같은것들아	분노
여태 준거 다 환수하자	분노
국정교과서 그따구로 쓰기만해봐라. 철회해이것들아.	분노
국민이 고통받은거 생각하면 고문이라도 해야한다고 생각한다.	분노
쥐 어이구 추잡한 쥐들아 사라져라	분노
위안부는 나라 말아 먹고 점령당한 한국탓이다	분노
다른 나라도 한국외교관들 조사해야 할듯!!!!!! 썩은 놈들 많네!!!!!	분노
광화문으로 끌고와 공개처형해야한다	분노
불법조업선박에 대포알 다섯개씩 박아버려	분노
뭐하는 짓인지 모르겠네요	분노
국가공무원 업무량도 헬조선인데 개돼지백성들은 말해뭐하랴	분노
미친 쪽바리ㅅㄲ들 욕이 안나올수가 없네- -;;	분노
신이 자기 이름팔아 악행만 벌이던 이슬람에 철퇴를 가하는것.	분노
짱꼴라들이 쥐약을 먹었나 제정신이 아니네ㅉㅉ	분노
이재용이 뇌물죄보다도 더 충격적이고 더욱 혐오감증오심이 든다	분노
칠레시민들 저놈 그냥 산속에다 파묻어버리세요.	분노
세상에 자기가 잘못해놓고 자기를 지키려고 용병을 산 그네야 넌 사형감이다	분노
"만화에 저 콧수염 남자, 딱 쪽바리 친일파 색히들 같네."	분노
닭년이 정권잡은뒤로 역사상 최고로 개 같은 나라가 됐다	분노
설현으로 누진세를 막을 수 있을거라 생각했냐?	분노
성난 민심에 기름을 제대로 붓는 꼴.	분노
박근혜 정부 정말 나라 안팍으로 시끄럽네	분노
"세상 좋아졌다, 저런 쓰레기 같은 인간들이 민주주의를 운운하니.."	분노
변호인단 구성하는것도 세금에서 나가는건가요?	분노
감빵가서 엄마 등이나 타고다녀라~	분노
야밤의 공동묘지 가운데에 포켓몬 나오게 해라...	분노
황사때문에 닦느라 볼일다본다	분노
진짜 입만 열면 거짓말이네뻔뻔해도 진짜	분노
최초보도한 기자도 명예훼손죄로 고소해주세요	분노
겨울바다에 쳐 넣을년	분노
인간이라고 할 수 없는 것들	분노
국민을 개바보로 아세요 당신들도 억지 변호하면서 양심에 찔리지 않으세요	분노
일단 책임지고 나가라	분노
우리아파트에 주차할때 옆에 남못대도록 애매하게주차하는사람있는데 정말 몰상식이다..	분노
이새끼 말바꾸는거봐라	분노
베트남이 왜 망했는지 교훈을 보고도 정신못차린 미개한 국민들 북한처럼 살고 싶어 환장한듯	분노
인간말종에 재활용도 안되는ㅆ 레 기 인성을 가졌군.	분노
"중국폰, 중국 자동차들 수입해서 자국민 가지고 노는 쓰레기 기업 싹 부도나라!!!오죽하면 헬조선이라하겠는가!!!"	분노
이름대로 하네 우리나라를 떠나라	분노
이런 순실이사건을 변호하는 변호사는 뭐냐?	분노
헌법질서 파괴하고 끝없는 죄를 지은 박근혜는 아빠따라 잔인하게 죽어야한다	분노
곱게 미쳐라	분노
구라청 쉴드기사 얼마에 쓰는거냐?!	분노
남자가했으면 감옥 여자가하면 장난	분노
역대 최악의 졸전이였다	분노
개누리 너들은 끝났다	분노
진짜 사나이나 폐지해라	분노
세월호 화물칸 진상규명하라!!!	분노
친일파넘들이 정한 법 쓰레기	분노
미개인이 사는나라네저딴 법도 법이냐?	분노
개편은 개뿔. 더 뜯어보자는 거지 뭐	분노
두놈다 구속수사..진심 쓰레기셀	분노
"자식은 개뿔의 자식, 자식을 한뼘 되는 땅에 2~30명 몰아넣고 키우냐?"	분노
여기서 쉴드치는 빠순이들은 나중에 남편이 노래방에서 여자도우미 불러서 놀아도 용서해줄 여자들일세...	분노
상대선수가 의도적으로 눈을 노리고 펀치를 날린게분명해보인다	분노
남자라면 군대가고 현역으로 당당히 입대하고 전역해라	분노
폭염주의보만 내리지말고 공휴일 좀 내라고.	분노
도대체 이정부는 머하는 정부냐	분노
김영재. 저 뻔뻔하게 낯짝을 까고 구라를쳐?에라이 돌맞을 인간아.	분노
나라가 망할려고 이러는구나.	분노
이나라는 믿을게 하나도없어	분노
너나 미치지마라. 어디서 국민이미쳤다고 하고있냐. 미친자야	분노
원숭이가 죽었는대머? 다죽었음 좋겠다야 ㅡㅡ	분노
평생 써도 못 쓸 돈인데 왜 탈세하는지 모르겠네	분노
반역자 새끼. 니 앞날이 뻔하네. 배신자 새끼들은 결국 종말이다.	분노
대모도돈받고하는 더러운국민성!!	분노
재주는 말이 부리고 상은 정유라가 타고 그 말은 삼성이 아주고 그 삼성 3대세습에 국민연금이 뜯기고	분노
젊은세대에게는 헬조선늙은세대에게는 지옥조선.	분노
미국은 우리나라 교훈 받아서 여자대통령 뽑지마라 ^^	분노
어째 기상청이 더 혼란스럽게 만든다 ㅡㅡ	분노
외국과는 반대로 가솔린차에 세금 폭탄 때리더니 결국 이꼴 나는군.	분노
나같음 죽엿다	분노
북극에 얼음이 녹고있는데 불난곳에 부채질하냐?!	분노
슈돌보면 아주 존나 편하게 돈버니 인성이 그모양이요?	분노
열심히 일하는 대다수 인원 욕 먹이지맙시다.	분노
겨우 2년 어이가없네 꽃뱀 공화국답다	분노
발열이 존나 심함 나 화상입을뻔	분노
게임업게 이렇게 쳐 말아먹은게 누구누구들이더라?	분노
별똥별이고 나발이고 출근한다~~이시간에..나오면서 집안 온도계 보니까 35도 더라 죽겠다	분노
김경문 믿음의 야구는 개뿔	분노
시간끌기해서버티기진짜지긋지긋하다	분노
1조정도 때려라 정신 못차리게	분노
"뻔뻔한것들,,. 하나같이 똑같네."	분노
정신나간 여자를 대통령에 앉혀놨으니....	분노
이참에 초등학교도 조사해라!!	분노
다감방안넣으면 두고봐	분노
진짜 is넘들 지옥불에 떨어져서 갈아마셔도 아깝지 않을 넘들임	분노
나라가 잘살려면 귀족노조들과 종북세력들 뿌리 뽑아야 한다.	분노
강자만을 위한 법 신물난다	분노
역시 그 드러운피는 못속이는구나	분노
이런 개같은 개한민국 언제 정신차리나	분노
저런것도 인간이라고...	분노
시청자 우롱하냐?	분노
층간소음때매 잘수가있어야지	분노
국내 소비자는 병신취급	분노
모든것을 정치적으로 해석하는구나..좌빨들...	분노
생리대 너무 비싸!!!!!!!!!!!!!!	분노
비온다고해서사장차안딱았안는데비안와서존나게맞았다.구라청책임져라.	분노
한화는당장 감독 경질해라	분노
장난하냐..??NC한테 돈 얼마 받았냐?	분노
엄마라는 숭고한이름 아무데나 갖다붙이지 마라ㅡㅡ	분노
저런 흉기차 미치지 않는이상 안사는게 답이다	분노
이런뇬을 뽑은것들은 손가락에 죄다 장지져라	분노
더 나아가 여의도로 가서새누리당을 해체 시킵시다.	분노
방안을 강구하지말고 반드시 몰수해라 알거지 만들어라!!	분노
특검은 불랙 리스트를 소환 하여 긴급체포해라!!!!	분노
미친것들!!	분노
김앤장 로펌 니들은 나중에 역사의 심판대에 서게될거다 자손대대로	분노
무식한게 고집만 쎄가지고..	분노
저렇게 뻔뻔한 개시키ㅣ도 드물듯.	분노
이제 화염병 들 때가 됐다~	분노
개패듯이 패고싶다.	분노
초기대응 실패한 공무원들 모조리 파면시키소	분노
내가 한국살면서 젠틀맨 만나본게 다섯손가락도 못채워본듯함...개저씨소굴	분노
도대체 국민들에게 얼마를 해처먹길래 주파수를 조단위로 팔아도 남는거냐	분노
아 날씨 참 _같네	분노
IS와 북한은 사회 악 인듯	분노
엘지 죽어라 그냥 후진것들	분노
이딴걸 가르치게 부모가 놔둘 것 같으냐!	분노
김성근감독 진짜 나쁜인간이네요	분노
개구라청 왜케 변해 니기미 풀린다해서 약속 잡았는디	분노
법이 있으면 뭐하나 무용지물인걸	분노
팔다리에 포승줄로 꽉꽉 소에다가 매달고 달리게 해서 팔다리를 찢어야한다	분노
전재산몰수가 구호로 변해야합니다!!!	분노
아가리를 찢어 버리고 싶다 아후 썅	분노
나라 잘돌아간다 진짜	분노
법이필요없는 년 비오는날먼지나도록패야해	분노
여가부가 한짓이 쓰레기짓거리였다는거를 인정하는거지 지금?	분노
최순실은 왜 죄수복 안입나요?	분노
닭이랑 계란이 나라를 뒤흔드네	분노
국가 내란 주모자 박근혜를 총살하고 농단자 최순실과 그 잔당들을 모조리 화형에 처하라....!	분노
"월급이 주거, 생계비 쓰고나면 남는데 없는데!!!?"	분노
사람죽이고 고작 8년?	분노
하여간 미개한놈들 기사를 읽기만해도 저런 개소리를 안 뱉을텐데..	분노
이슬람은 is조직 살인무장단체 모두 무기징역이다	분노
정상근무 했다는 년이 오후에 기어나와서 구명조끼 입었는데 찾기어렵냐는 그런 개소리를 하냐.	분노
나라를 엉망으로 해놓고 잘못업다는 너희들은 극형으로 다스려야 한다	분노
국정원 과 그들의 알바들이 지금까지 세월호 유가족 을 괴롭히고 잇다.	분노
중고등학교에서 이러이런게 성범죄고 얼마만큼 형벌을 받는다는 교육을 시켜라	분노
오늘 아침에 빡쳤음ㅡㅡ	분노
칼만 안들었지 저 쓰레기들은 강도다	분노
정말 열받네.	분노
변호사는 개소리 좀 그만하고	분노
제작진이 시청률에 눈 뒤집혀서 쓰레기같은 짓을 했네!!	분노
이번에도 헛소리하면 정말 참을 수없을거같다.	분노
분명 강압수사했어	분노
비온다해놓고 부산에 비 1도 안옴ㅡㅡ	분노
기각하면 디진다	분노
이 일에 관련되어있는 한 그룹의 팬으로써 이번사과문은 실망스럽고 화가나네요	분노
 이재용 아가리에 집어넣고 충전이나 해라	분노
 주최측도 좌빨 그대로다.	분노
 불평하려면 일을 해서 번 돈으로 사처먹던가.	분노
성범죄는 제발 엄중히 다스렸으면 합니다.	분노
지 애비가 만든 고문실에 가둬서 다 불게해라	분노
대한민국 국민의 한사람으로서 정말 개쪽팔리다.	분노
 자식들한테 쪽팔리지않냐.	분노
지금 상황 같아선 전국민 들고 일어나서 청와대로 진격하고 싶다.	분노
이러는 국민연금을 왜 강제로 걷나.	분노
 이번기회에 완전 매장시켜라	분노
잡아서 거세합시다	분노
 아주 듣기가 싫다.	분노
 이제는 화가납니다.	분노
 그놈이 욕하면 나도 욕하고 만지면 낭심을 걷어차버려 그래도 된다	분노
 죽어서도 대대손손 박근혜너는 자식이없으니 니가 그업보 죽을때까지 쳐당해라	분노
이게 나라냐!!!	분노
진정한 쓰레기들아	분노
박근혜 때문이다!	분노
 다른놈은 물라도 배신자 싸가지없다	분노
LG50UHTV산지 보름 만에 액정 깨져 전화했더니 내책임이란다	분노
왜 내 의사 상관없이 맘대로 업데이트를 하고 난리람!!!!	분노
친일파들은 왜 대부분 지금도 잘사냐?	분노
의도적으로 머리를 향해 던진거임.	분노
 노점상들 볼 때마다 화가 난다.	분노
도대체 정유라의 정체가 뭐냐!!!	분노
 십자가를 망령되게 사용해도 분수가 있지!!!!!	분노
기업만 배불리고 노동자를 착취하는 더러운 기업 문화를 가진 대한민국.	분노
의경힘들게하지말고 적당히좀해라..	분노
 그냥 문체부 해체하고 문체부 공뭔들 다 해직시켜라 꼴갑들떨고있네	분노
 그러고도 국정교과서 역사편찬을해????	분노
까고있네 이란한테 개발릴것들이	분노
" 미군없으면 영해, 부산 앞바다에도 올놈들이다"	분노
 니들이 공직자이기전에 먼저 인간이냐?	분노
저 여자는 왜 아직도 근무하지?	분노
 민주주의가 뭔줄이나아니?	분노
 별 미친 또라이들이 판을 치는구나!	분노
이런새끼들이 기득권을 장악하고있으니 한국은 발전가능성 제로다.	분노
" 국가와 국민을 배신한 대통령 박근혜와 박근혜에 부역한 국가의 반역자들을 확실하게 뿌리뽑아, 불의와 불법이 나라를 좀먹지 못하도록 해야한다."	분노
 내 다섯달 봉급이다 이년아	분노
이런 놈은 평생비행기 탑승 금지시켜라..	분노
 뻔뻔함이 도를 넘어섰다.	분노
우리꺼야 내놔 도둑놈들아	분노
 광복이후로 주구장창 말해오고 있잖아!!	분노
 지가 뭔데 사람들을 때리고 함부로해ㅡㅡ	분노
 박근혜와 측근들 정말 치가 떨린다...	분노
 지깟것들이 뭔대 평가를 해!	분노
이제 감옥에 쳐넣어야지	분노
 축제랍시고 허접하게 만들어놓고 바가지 씌우고 돈벌었다고 낄낄거리라고 태어난 산천어가 아니란말이다.	분노
국민연금 손해봐가면서 국민혈세 축낸 일이 올바른 정책판단이냐?	분노
황교안은 박근혜 꼭두각시다 빨리 갈아치워라!!	분노
닭근혜 최순실 부역자인 기레기들 처벌하자.	분노
뒤에서 와서 받는데 왜 9대1이냐 보험회사 시방새들	분노
한국 그냥 망해라	분노
거짓말을 꾸며서 sns에 올려 누명을 씌운 옷가게 주인년 반드시 처참하게 없애버리겠다 .	분노
 서민들이 그리 만만하냐!!	분노
권리를 지키고 싶으면 적어도 니들끼린 상도덕을 지켜라	분노
 니가 실력으로 연대에 들어가??	분노
아니 국내 고등어 취식만 금지시키면 해결되는 문제를 왜이리 국론분열시키는고지? 고등어 먹으면 콩밥먹이면 해결된다던데 뉴스좀 보고 살지	분노
오전 오후도 예보 못하는 것들이 토요일 거를 예보해?	분노
갓틸리케는건드리는거아니다	분노
그네집 개들이 주인님위해 쑈했나?	분노
싹쓸이 해가는 짱깨한텐 찍소리도 못하고 자국민들 알 밴 생선 쳐먹지 말라네 ㅋㅋㅋ	분노
범죄 저지른 외노자는 추방해라.	분노
그래서 했냐고 안했냐고	분노
권력울 이용해서 다해 먹을려고 했구나	분노
비리비리투성인데 어찌..편들걸들어야지	분노
메갈이 페미니스트라는 건 is가 이슬람이라고 하는 격	분노
체질식으로 좋은식재료로 드셈 채식 3년하고 아이러니하게 고지혈온 1인	분노
흐리다고만하면미세먼지있다는말같음 믿음이안간다	분노
진짜 씨.바라고 밖에표현이	분노
구미로 난 길들 다 막고 성벽 쌓고 싶다	분노
나라가 미치더니 판사년놈들까지 마쳤구만........	분노
중국이 진짜 민폐네..	분노
내가 봤을때 프로야구의 최고 암적인 존재는 박동희다	분노
종교가 아니라 정신병자들 살인마	분노
삼성은 올해도 7~9위에서 놀겠고만 삼충이들 벌떡벌떡 하겠네	분노
연봉5000줘도 일할젊고 부지런할 청년들 깔렷다 싹갈아치아야되 ~	분노
오늘 심판 골 방해 절라함	분노
전기차에 정부는 힘을 보태줘라	분노
아진짜 날도더운데 미세먼지까지ㅠㅠ못살겠다ㅠㅠ	분노
최순실 모녀는 살인교사까지 할지도 모른다	분노
김여사 예상해봅니다	분노
너도 참 여자가 그래 없드나?	분노
프듀팬인데 이새기한테 관심없어서 몰랐던게 열받는다	분노
재용아 위증까지 했니?	분노
저많은 우주쓰레기 위성들은 누가 치우냐..	분노
역시 여자가 나서니 나라가 망해가네	분노
기상청 하는일이대체머임?	분노
